iter	Passed	Remaining
874	59175	8453
875	59232	8384
876	59293	8315
877	59359	8248
878	59420	8179
879	59477	8110
880	59550	8043
881	59618	7976
882	59683	7908
883	59749	7840
884	59812	7772
885	59877	7704
886	59942	7636
887	60009	7568
888	60081	7501
889	60147	7433
890	60203	7365
891	60269	7297
892	60333	7229
893	60391	7160
894	60459	7092
895	60527	7025
896	60597	6958
897	60656	6889
898	60728	6822
899	60799	6755
900	60869	6688
901	60928	6619
902	60992	6551
903	61060	6484
904	61126	6416
905	61183	6347
906	61249	6280
907	61317	6212
908	61386	6145
909	61445	6076
910	61504	6008
911	61569	5940
912	61628	5872
913	61694	5804
914	61750	5736
915	61813	5668
916	61872	5600
917	61935	5532
918	62003	5464
919	62073	5397
920	62142	5330
921	62208	5262
922	62269	5194
923	62337	5127
924	62393	5058
925	62453	4990
926	62515	4922
927	62581	4855
928	62628	4786
929	62684	4718
930	62748	4650
931	62813	4582
932	62876	4515
933	62938	4447
934	63005	4380
935	63073	4312
936	63132	4244
937	63197	4177
938	63259	4109
939	63322	4041
940	63387	3974
941	63452	3906
942	63512	3839
943	63575	3771
944	63645	3704
945	63712	3636
946	63765	3568
947	63828	3501
948	63884	3433
949	63951	3365
950	64016	3298
951	64084	3231
952	64147	3163
953	64213	3096
954	64279	3028
955	64341	2961
956	64405	2893
957	64469	2826
958	64531	2758
959	64590	2691
960	64656	2623
961	64715	2556
962	64774	2488
963	64835	2421
964	64904	2354
965	64971	2286
966	65038	2219
967	65100	2152
968	65163	2084
969	65228	2017
970	65292	1950
971	65360	1882
972	65416	1815
973	65483	1748
974	65558	1680
975	65626	1613
976	65694	1546
977	65752	1479
978	65820	1411
979	65880	1344
980	65942	1277
981	66002	1209
982	66064	1142
983	66126	1075
984	66196	1008
985	66265	940
986	66336	873
987	66404	806
988	66464	739
989	66530	672
990	66662	605
991	66734	538
992	66800	470
993	66862	403
994	66924	336
995	66993	269
996	67058	201
997	67127	134
998	67188	67
999	67251	0
